Make,Model,Year,Country of Origin,Transmission,Engine Type,Engine Size (L),Mileage (km),Condition,Previous Owners,Additional Features,Resale Value (Ksh)
Mercedes,GLE,2017,Germany,Manual,Petrol,1.6,97382,Good,0,Heated Seats,2220504
Honda,CR-V,2015,Japan,Manual,Petrol,1.6,111085,Poor,5,Leather Seats,477454
Nissan,X-Trail,2001,Japan,Automatic,Diesel,3.0,118951,Poor,3,None,204858
Ford,Explorer,2014,USA,Automatic,Petrol,1.8,25316,Poor,3,Heated Seats,648315
Mercedes,GLE,2018,Germany,Automatic,Petrol,1.4,89846,Fair,2,Backup Camera,1773462
Honda,Accord,2017,Japan,Automatic,Petrol,3.2,62976,Good,4,Leather Seats,1602458
Toyota,Corolla,2018,Japan,Manual,Petrol,1.6,197571,Good,1,Sunroof,1163189
BMW,X5,2017,Germany,Automatic,Petrol,1.6,16465,Good,1,Heated Seats,2291990
Ford,Focus,2007,USA,Automatic,Petrol,4.0,27770,Fair,5,Leather Seats,897466
Subaru,XV,2009,Japan,Automatic,Diesel,2.0,161289,Poor,2,GPS,333919
Volkswagen,Polo,2011,Germany,Manual,Petrol,1.8,29182,Poor,0,Heated Seats,1201661
Honda,CR-V,2015,Japan,Manual,Petrol,3.0,55390,Excellent,3,Heated Seats,1216962
Mercedes,GLA,2012,Germany,Automatic,Petrol,2.5,80204,Excellent,0,Leather Seats,2463748
Mercedes,GLA,2011,Germany,Automatic,Petrol,3.0,12986,Excellent,4,GPS,2404046
Toyota,Land Cruiser,2007,Japan,Manual,Diesel,3.0,115357,Excellent,2,None,645345
Honda,CR-V,2020,Japan,Automatic,Petrol,2.5,86911,Excellent,4,None,1571517
Honda,Fit,2002,Japan,Manual,Petrol,1.6,151436,Fair,5,GPS,121947
Toyota,RAV4,2012,Japan,Automatic,Diesel,2.0,9693,Fair,4,Sunroof,707754
Ford,Ranger,2023,USA,Automatic,Petrol,1.8,83753,Excellent,2,None,1737946
BMW,X3,2023,Germany,Manual,Petrol,1.8,147318,Excellent,4,None,2920098
Nissan,Juke,2022,Japan,Automatic,Diesel,4.0,159781,Very Good,4,Bluetooth,2075485
Honda,CR-V,2011,Japan,Automatic,Diesel,3.2,169086,Poor,4,Backup Camera,734665
Nissan,Qashqai,2007,Japan,Automatic,Petrol,1.4,120164,Poor,1,None,409784
Honda,Civic,2004,Japan,Manual,Petrol,1.6,133961,Good,4,None,491860
BMW,X3,2021,Germany,Manual,Petrol,3.0,15145,Very Good,3,Leather Seats,2619189
Nissan,Qashqai,2021,Japan,Manual,Diesel,3.0,67833,Fair,5,Bluetooth,1059400
Volkswagen,Polo,2020,Germany,Manual,Diesel,2.5,145584,Poor,2,Heated Seats,1394707
Mercedes,GLA,2019,Germany,Manual,Diesel,1.8,87755,Good,5,Backup Camera,2230484
Toyota,Camry,2013,Japan,Manual,Diesel,3.0,32932,Fair,0,Backup Camera,973311
Subaru,Outback,2022,Japan,Manual,Petrol,3.2,160852,Good,0,Backup Camera,1940743
BMW,5 Series,2005,Germany,Manual,Diesel,4.0,13891,Fair,1,Backup Camera,1817618
BMW,X5,2008,Germany,Manual,Petrol,3.0,123111,Good,2,Backup Camera,1575019
Mercedes,GLE,2016,Germany,Manual,Diesel,1.8,21025,Fair,0,Backup Camera,1828294
BMW,X3,2022,Germany,Automatic,Diesel,3.2,25655,Fair,0,GPS,2430249
Honda,Fit,2019,Japan,Manual,Diesel,1.8,13399,Excellent,4,Heated Seats,1633170
Mercedes,E-Class,2007,Germany,Manual,Petrol,2.5,144759,Good,5,GPS,1520991
Volkswagen,Tiguan,2015,Germany,Manual,Petrol,1.8,120917,Excellent,2,Heated Seats,2372258
BMW,5 Series,2020,Germany,Manual,Petrol,1.4,17798,Excellent,5,Leather Seats,2819072
Ford,Explorer,2016,USA,Manual,Diesel,2.0,144186,Very Good,0,Sunroof,1292583
Mercedes,GLE,2008,Germany,Automatic,Diesel,3.0,26150,Fair,5,GPS,1473975
Mercedes,E-Class,2002,Germany,Automatic,Petrol,1.6,77844,Excellent,1,GPS,1783066
Volkswagen,Passat,2013,Germany,Automatic,Diesel,3.0,36022,Very Good,5,Heated Seats,2313854
Nissan,X-Trail,2023,Japan,Automatic,Diesel,4.0,180229,Good,0,Bluetooth,2017026
Mercedes,E-Class,2019,Germany,Automatic,Petrol,4.0,129508,Fair,1,Heated Seats,2291781
Subaru,Outback,2022,Japan,Automatic,Petrol,1.6,123848,Excellent,1,Sunroof,1750868
Mercedes,E-Class,2022,Germany,Automatic,Diesel,1.4,34659,Poor,4,Leather Seats,1466199
Toyota,RAV4,2008,Japan,Automatic,Petrol,1.4,105840,Excellent,3,Heated Seats,730187
Ford,Fiesta,2017,USA,Manual,Diesel,1.8,101460,Good,0,Leather Seats,1244471
Nissan,Juke,2016,Japan,Manual,Petrol,1.8,121439,Fair,3,Sunroof,784919
Nissan,X-Trail,2000,Japan,Automatic,Diesel,1.6,25727,Excellent,5,Sunroof,466509
Volkswagen,Polo,2020,Germany,Automatic,Diesel,3.0,155408,Excellent,0,None,2835017
BMW,X5,2010,Germany,Automatic,Diesel,2.5,88054,Fair,4,Heated Seats,1327139
BMW,5 Series,2020,Germany,Automatic,Petrol,2.5,120243,Poor,4,Leather Seats,1322756
Volkswagen,Tiguan,2000,Germany,Manual,Diesel,4.0,39533,Poor,2,Leather Seats,1194132
Toyota,RAV4,2016,Japan,Manual,Petrol,4.0,186908,Fair,3,Sunroof,1260044
Toyota,Corolla,2005,Japan,Automatic,Diesel,1.8,169394,Good,4,Leather Seats,495611
Honda,CR-V,2003,Japan,Manual,Petrol,3.2,31903,Excellent,1,GPS,1352746
Subaru,Forester,2018,Japan,Manual,Petrol,4.0,5961,Excellent,2,Leather Seats,2240972
Ford,Focus,2010,USA,Manual,Diesel,3.2,60599,Poor,3,None,680801
Toyota,Corolla,2014,Japan,Manual,Diesel,4.0,182357,Fair,3,Backup Camera,1167793
Ford,Ranger,2000,USA,Automatic,Petrol,2.0,111982,Fair,3,Backup Camera,123496
Toyota,Camry,2016,Japan,Manual,Diesel,4.0,68466,Very Good,4,Backup Camera,1719591
Honda,CR-V,2012,Japan,Manual,Petrol,1.8,21124,Very Good,3,GPS,1077218
Toyota,Camry,2019,Japan,Automatic,Diesel,3.2,49347,Poor,1,GPS,1079043
Subaru,Forester,2004,Japan,Manual,Diesel,4.0,128625,Excellent,1,GPS,1226662
Subaru,Outback,2019,Japan,Automatic,Petrol,4.0,29049,Good,5,None,1892080
Subaru,Outback,2013,Japan,Automatic,Diesel,3.2,150094,Excellent,3,Leather Seats,1570857
Toyota,Land Cruiser,2012,Japan,Manual,Diesel,3.2,123268,Fair,4,Leather Seats,1111848
Volkswagen,Tiguan,2012,Germany,Manual,Petrol,3.2,27710,Excellent,3,Sunroof,3066224
Nissan,Navara,2012,Japan,Manual,Diesel,3.0,120871,Very Good,4,Heated Seats,983962
Ford,Fiesta,2019,USA,Automatic,Petrol,4.0,24774,Poor,5,Backup Camera,1117560
Nissan,Juke,2009,Japan,Automatic,Petrol,1.4,84623,Excellent,0,Bluetooth,1041508
Nissan,Juke,2007,Japan,Manual,Diesel,2.5,178898,Good,5,Sunroof,647212
Subaru,Impreza,2000,Japan,Automatic,Petrol,3.0,5535,Excellent,5,Leather Seats,463491
Honda,CR-V,2017,Japan,Automatic,Diesel,1.8,99395,Very Good,1,GPS,1365066
Toyota,RAV4,2005,Japan,Automatic,Diesel,2.0,139626,Excellent,3,Sunroof,545815
Ford,Explorer,2009,USA,Manual,Diesel,1.8,120049,Fair,5,Backup Camera,509659
Volkswagen,Golf,2002,Germany,Automatic,Petrol,1.4,198365,Fair,5,Sunroof,958351
Mercedes,GLA,2017,Germany,Automatic,Petrol,1.8,83282,Excellent,3,Backup Camera,2517432
Toyota,Corolla,2014,Japan,Automatic,Diesel,2.0,167505,Fair,0,GPS,753656
Volkswagen,Polo,2002,Germany,Automatic,Petrol,2.5,56339,Very Good,2,Heated Seats,1547338
Mercedes,C-Class,2005,Germany,Manual,Petrol,3.0,166367,Poor,2,Sunroof,796682
Subaru,Forester,2004,Japan,Automatic,Petrol,1.4,80560,Excellent,5,Heated Seats,694177
Volkswagen,Tiguan,2015,Germany,Automatic,Petrol,2.0,26291,Excellent,4,Heated Seats,2664467
Toyota,Corolla,2017,Japan,Automatic,Petrol,3.0,163810,Poor,5,Heated Seats,553134
Ford,Focus,2013,USA,Automatic,Diesel,2.0,101103,Excellent,1,Backup Camera,1168005
Toyota,Camry,2012,Japan,Automatic,Diesel,4.0,164239,Very Good,1,Heated Seats,1457141
BMW,X5,2019,Germany,Automatic,Diesel,3.2,26567,Excellent,4,Bluetooth,3447033
BMW,X3,2006,Germany,Manual,Petrol,3.0,190587,Excellent,1,Sunroof,1978837
Subaru,XV,2019,Japan,Manual,Diesel,4.0,42006,Very Good,5,Bluetooth,1949879
BMW,3 Series,2015,Germany,Automatic,Petrol,1.4,59665,Good,0,Bluetooth,2146751
Nissan,Navara,2017,Japan,Automatic,Diesel,2.5,125947,Poor,5,Backup Camera,640643
Nissan,X-Trail,2023,Japan,Automatic,Diesel,2.0,103954,Poor,1,GPS,812404
Subaru,Forester,2005,Japan,Manual,Petrol,4.0,139162,Excellent,2,None,1120585
Nissan,X-Trail,2010,Japan,Manual,Petrol,3.0,68684,Fair,0,Bluetooth,694960
Toyota,Land Cruiser,2018,Japan,Manual,Diesel,2.5,178485,Excellent,3,None,1263789
Mercedes,GLE,2016,Germany,Automatic,Diesel,1.8,145114,Fair,2,GPS,1640526
Toyota,RAV4,2000,Japan,Manual,Diesel,3.0,131644,Very Good,2,Sunroof,353140
Mercedes,GLA,2022,Germany,Automatic,Petrol,4.0,48712,Excellent,0,Sunroof,3704304
Subaru,Impreza,2021,Japan,Automatic,Petrol,1.8,164518,Very Good,0,Bluetooth,1405778
Volkswagen,Golf,2009,Germany,Automatic,Diesel,2.5,169916,Very Good,3,Heated Seats,1875337
Toyota,RAV4,2014,Japan,Manual,Petrol,2.0,17459,Good,1,Bluetooth,1116879
Volkswagen,Polo,2011,Germany,Automatic,Diesel,1.8,194063,Poor,1,GPS,1093941
Nissan,X-Trail,2010,Japan,Automatic,Diesel,2.0,57234,Poor,2,GPS,459665
Subaru,Outback,2005,Japan,Manual,Diesel,1.6,121338,Good,5,Bluetooth,416651
Nissan,Juke,2021,Japan,Automatic,Diesel,1.4,186214,Poor,2,Heated Seats,776692
Ford,Ranger,2018,USA,Automatic,Petrol,1.4,192641,Excellent,2,None,1297300
Honda,Civic,2010,Japan,Automatic,Petrol,3.2,116563,Excellent,1,Backup Camera,1495034
BMW,X5,2002,Germany,Manual,Diesel,1.6,88957,Excellent,5,Bluetooth,1725797
Volkswagen,Passat,2012,Germany,Manual,Petrol,2.5,20157,Very Good,1,Heated Seats,2213043
BMW,X5,2014,Germany,Automatic,Diesel,1.8,82308,Poor,1,Heated Seats,1226086
BMW,5 Series,2005,Germany,Manual,Diesel,4.0,61264,Excellent,3,GPS,2559754
Toyota,Land Cruiser,2011,Japan,Automatic,Diesel,3.2,132465,Excellent,0,Backup Camera,1537677
BMW,3 Series,2009,Germany,Manual,Petrol,3.0,60786,Good,5,Backup Camera,1800854
Nissan,Qashqai,2016,Japan,Automatic,Diesel,2.0,81669,Excellent,3,Sunroof,1247701
Toyota,RAV4,2020,Japan,Automatic,Diesel,1.6,165604,Excellent,2,Sunroof,1544844
Nissan,Qashqai,2001,Japan,Manual,Petrol,3.0,180113,Poor,5,None,178957
Toyota,Camry,2005,Japan,Automatic,Petrol,3.0,129140,Good,5,Leather Seats,520961
Honda,Civic,2000,Japan,Manual,Petrol,2.5,17892,Very Good,4,Bluetooth,392607
Mercedes,GLE,2014,Germany,Automatic,Diesel,1.8,94669,Poor,4,Sunroof,1250624
BMW,X3,2011,Germany,Manual,Diesel,1.4,185473,Fair,2,Backup Camera,1398947
Volkswagen,Passat,2013,Germany,Manual,Diesel,1.4,141195,Good,1,None,1851563
Nissan,Qashqai,2011,Japan,Automatic,Petrol,2.0,84876,Very Good,5,Backup Camera,930534
Volkswagen,Passat,2014,Germany,Manual,Petrol,1.6,14170,Poor,0,Leather Seats,1384281
Toyota,Corolla,2022,Japan,Automatic,Petrol,1.6,134355,Poor,2,GPS,776859
Honda,Accord,2005,Japan,Manual,Petrol,3.0,68530,Excellent,3,Bluetooth,738744
Honda,Civic,2013,Japan,Automatic,Petrol,2.5,174015,Very Good,5,GPS,861737
Toyota,Corolla,2020,Japan,Automatic,Diesel,1.6,163811,Excellent,3,Leather Seats,1380667
Nissan,Juke,2000,Japan,Manual,Petrol,2.0,52648,Excellent,1,Sunroof,446155
Honda,Civic,2011,Japan,Automatic,Petrol,2.5,166966,Fair,5,Backup Camera,580619
Nissan,X-Trail,2020,Japan,Automatic,Diesel,1.8,186704,Poor,4,Heated Seats,773246
Honda,Accord,2023,Japan,Automatic,Petrol,3.2,90256,Poor,1,Sunroof,1185439
Ford,Explorer,2013,USA,Automatic,Petrol,3.0,68454,Very Good,4,Sunroof,1000880
Toyota,Camry,2012,Japan,Automatic,Diesel,2.0,172929,Very Good,3,GPS,841302
Subaru,Impreza,2016,Japan,Manual,Petrol,3.0,145790,Excellent,4,Bluetooth,1295929
BMW,X5,2020,Germany,Manual,Petrol,2.0,163676,Good,4,None,2227447
Mercedes,GLA,2012,Germany,Automatic,Petrol,2.0,70825,Very Good,5,Backup Camera,2130027
Honda,Accord,2021,Japan,Automatic,Petrol,3.0,64688,Fair,5,Sunroof,1037825
Nissan,Navara,2023,Japan,Manual,Diesel,4.0,172347,Good,0,GPS,1995104
BMW,3 Series,2020,Germany,Manual,Petrol,2.0,61224,Very Good,5,Backup Camera,2554964
Honda,Accord,2003,Japan,Manual,Diesel,3.0,73131,Good,4,Leather Seats,397005
Nissan,X-Trail,2022,Japan,Automatic,Diesel,2.5,99546,Fair,1,Heated Seats,1295225
Honda,Civic,2014,Japan,Automatic,Petrol,1.6,101268,Poor,0,Leather Seats,662724
Nissan,X-Trail,2007,Japan,Automatic,Petrol,1.6,110292,Fair,4,None,474285
Nissan,Navara,2007,Japan,Automatic,Diesel,4.0,55003,Poor,1,None,811667
Subaru,Impreza,2003,Japan,Automatic,Petrol,1.6,45037,Poor,0,None,438450
Honda,Fit,2023,Japan,Manual,Diesel,3.2,166295,Poor,5,None,1083776
BMW,5 Series,2012,Germany,Automatic,Diesel,4.0,188554,Poor,5,Bluetooth,1315937
Toyota,Land Cruiser,2000,Japan,Automatic,Petrol,2.0,85049,Very Good,3,Heated Seats,346986
Honda,CR-V,2023,Japan,Manual,Diesel,3.0,150216,Fair,4,Sunroof,983859
BMW,X5,2013,Germany,Manual,Petrol,4.0,46444,Very Good,3,Heated Seats,2888700
Mercedes,E-Class,2009,Germany,Automatic,Diesel,3.0,73054,Fair,1,Leather Seats,1495765
Ford,Focus,2010,USA,Manual,Diesel,2.0,114074,Very Good,5,Heated Seats,815019
BMW,X3,2010,Germany,Automatic,Diesel,1.8,143765,Excellent,1,Heated Seats,2117998
Mercedes,C-Class,2021,Germany,Manual,Petrol,3.0,88855,Very Good,1,Heated Seats,2596262
Volkswagen,Tiguan,2014,Germany,Automatic,Diesel,2.5,33000,Good,4,GPS,2157388
Subaru,Forester,2006,Japan,Automatic,Petrol,4.0,98214,Good,4,None,1176590
Subaru,XV,2007,Japan,Automatic,Diesel,2.0,47366,Good,4,GPS,697266
Honda,CR-V,2017,Japan,Manual,Petrol,3.0,14098,Poor,5,Leather Seats,757381
Nissan,Juke,2017,Japan,Automatic,Petrol,3.0,150347,Excellent,1,Sunroof,1364833
BMW,X5,2013,Germany,Automatic,Diesel,1.8,173205,Very Good,3,Backup Camera,2088951
Ford,Ranger,2011,USA,Manual,Diesel,3.0,53894,Poor,0,Backup Camera,595156
Honda,Accord,2020,Japan,Automatic,Diesel,4.0,25178,Good,0,None,2053411
Volkswagen,Tiguan,2018,Germany,Manual,Diesel,1.8,170712,Fair,1,Heated Seats,1686966
Subaru,Outback,2021,Japan,Automatic,Petrol,1.8,167287,Good,2,Leather Seats,1237883
Ford,Ranger,2002,USA,Manual,Diesel,2.5,120879,Good,2,GPS,318125
Toyota,Corolla,2011,Japan,Manual,Petrol,3.2,160040,Fair,1,Heated Seats,1178070
Mercedes,GLE,2000,Germany,Automatic,Diesel,1.6,120571,Good,4,GPS,1173231
BMW,3 Series,2017,Germany,Manual,Diesel,1.4,25217,Very Good,5,Leather Seats,2485412
Honda,Fit,2003,Japan,Manual,Petrol,4.0,45664,Poor,0,GPS,779310
Mercedes,GLA,2017,Germany,Manual,Petrol,3.2,152219,Excellent,4,Heated Seats,3009469
Toyota,Land Cruiser,2021,Japan,Manual,Petrol,2.0,146076,Fair,5,Sunroof,984632
Ford,Explorer,2019,USA,Automatic,Petrol,1.6,27503,Poor,1,Heated Seats,809504
Ford,Focus,2023,USA,Manual,Diesel,4.0,99179,Good,3,Heated Seats,1957862
Toyota,Camry,2015,Japan,Automatic,Diesel,2.5,81614,Very Good,4,GPS,1105708
Mercedes,GLA,2006,Germany,Manual,Petrol,3.0,121430,Poor,5,Heated Seats,783545
Nissan,X-Trail,2019,Japan,Automatic,Petrol,2.0,127572,Very Good,0,Backup Camera,1380106
Honda,Accord,2003,Japan,Manual,Diesel,2.5,64087,Very Good,1,Sunroof,597936
Honda,CR-V,2016,Japan,Automatic,Diesel,2.0,36836,Very Good,1,GPS,1440613
Honda,Fit,2020,Japan,Manual,Petrol,1.8,51684,Excellent,4,Leather Seats,1547504
Nissan,Juke,2007,Japan,Manual,Petrol,2.0,142741,Fair,1,Bluetooth,597596
Mercedes,GLE,2013,Germany,Manual,Diesel,3.2,26292,Excellent,2,None,3179746
Honda,CR-V,2013,Japan,Manual,Petrol,3.0,121607,Very Good,4,Leather Seats,886298
Toyota,Camry,2007,Japan,Manual,Petrol,3.0,106470,Poor,1,Leather Seats,397617
BMW,5 Series,2016,Germany,Manual,Petrol,1.6,29879,Fair,5,Heated Seats,1754501
Honda,Civic,2022,Japan,Automatic,Petrol,2.0,147358,Poor,5,None,794362
Subaru,Forester,2010,Japan,Manual,Petrol,1.6,132834,Good,4,Backup Camera,747505
Ford,Ranger,2009,USA,Manual,Petrol,1.8,121436,Very Good,5,None,768618
Honda,Civic,2000,Japan,Automatic,Diesel,3.0,142452,Excellent,0,Bluetooth,385541
Toyota,RAV4,2018,Japan,Automatic,Petrol,3.2,22132,Excellent,1,Heated Seats,2259030
Honda,Civic,2008,Japan,Manual,Diesel,3.2,13320,Fair,4,Heated Seats,964300
BMW,3 Series,2009,Germany,Manual,Diesel,3.2,193554,Fair,1,Leather Seats,1754371
Volkswagen,Golf,2007,Germany,Automatic,Diesel,3.0,181340,Fair,0,Backup Camera,1271282
Toyota,RAV4,2003,Japan,Automatic,Diesel,3.0,43518,Very Good,0,None,683027
BMW,X3,2009,Germany,Manual,Petrol,1.4,20186,Fair,2,GPS,1548284
Subaru,Outback,2006,Japan,Manual,Petrol,1.4,119651,Excellent,1,Backup Camera,749936
Volkswagen,Golf,2007,Germany,Automatic,Petrol,1.4,51100,Poor,2,Leather Seats,961698
Ford,Fiesta,2022,USA,Automatic,Diesel,1.8,173048,Fair,5,Bluetooth,1028622
Subaru,Impreza,2009,Japan,Manual,Diesel,3.2,195650,Excellent,0,GPS,1403209
Subaru,Outback,2000,Japan,Automatic,Diesel,4.0,18641,Good,1,Heated Seats,902433
BMW,X5,2013,Germany,Manual,Petrol,1.6,67994,Good,4,None,2017973
Subaru,Outback,2016,Japan,Manual,Diesel,1.8,82125,Excellent,5,GPS,1421538
Mercedes,GLE,2005,Germany,Manual,Petrol,1.6,149338,Excellent,1,Leather Seats,1872756
Subaru,XV,2008,Japan,Automatic,Diesel,1.4,117584,Very Good,0,Heated Seats,776434
Ford,Focus,2022,USA,Manual,Petrol,1.6,175515,Fair,3,None,925297
Ford,Explorer,2004,USA,Manual,Petrol,1.6,83497,Good,4,None,468537
Ford,Fiesta,2000,USA,Manual,Diesel,2.0,114894,Good,4,Bluetooth,279638
Subaru,Outback,2016,Japan,Manual,Petrol,3.0,144033,Fair,1,Backup Camera,857960
Honda,Civic,2022,Japan,Automatic,Diesel,2.5,191431,Good,1,Leather Seats,1486122
Toyota,RAV4,2012,Japan,Manual,Diesel,4.0,164553,Fair,1,None,1061321
Honda,Accord,2015,Japan,Manual,Diesel,1.6,187098,Poor,2,GPS,570024
Mercedes,E-Class,2014,Germany,Manual,Diesel,1.4,67145,Good,3,None,1962334
Subaru,Forester,2013,Japan,Manual,Petrol,4.0,82100,Excellent,0,Heated Seats,1830231
Toyota,RAV4,2004,Japan,Automatic,Diesel,1.8,142883,Good,0,GPS,425718
Honda,CR-V,2003,Japan,Manual,Petrol,1.6,197979,Good,1,Backup Camera,487024
Ford,Explorer,2003,USA,Manual,Petrol,1.4,129013,Poor,0,Sunroof,336445
Nissan,Navara,2001,Japan,Automatic,Diesel,4.0,84628,Poor,2,Backup Camera,525900
Honda,Accord,2000,Japan,Manual,Diesel,1.4,58540,Very Good,2,Bluetooth,485691
BMW,3 Series,2018,Germany,Manual,Petrol,1.6,94216,Very Good,2,GPS,2528924
Ford,Explorer,2023,USA,Automatic,Diesel,1.4,80407,Good,3,Backup Camera,1517112
Mercedes,E-Class,2019,Germany,Manual,Diesel,3.2,5053,Excellent,1,Leather Seats,3465985
BMW,3 Series,2023,Germany,Manual,Diesel,4.0,182160,Fair,2,Heated Seats,2241087
Nissan,Qashqai,2009,Japan,Manual,Petrol,2.0,171968,Good,0,Heated Seats,797407
Mercedes,GLA,2019,Germany,Manual,Diesel,2.5,173017,Poor,3,GPS,1188434
Toyota,RAV4,2012,Japan,Manual,Diesel,3.2,29665,Excellent,3,Heated Seats,1916543
Subaru,Impreza,2020,Japan,Automatic,Diesel,3.2,91043,Very Good,3,Backup Camera,1931163
Ford,Ranger,2019,USA,Manual,Diesel,1.4,37106,Very Good,4,Bluetooth,1411774
BMW,X5,2006,Germany,Manual,Diesel,1.4,18202,Good,2,None,1738032
Subaru,XV,2015,Japan,Automatic,Diesel,1.4,36429,Very Good,4,Sunroof,1374313
Honda,Accord,2018,Japan,Automatic,Diesel,1.4,99655,Fair,3,Bluetooth,878941
Honda,Civic,2010,Japan,Manual,Petrol,2.0,76853,Good,3,Backup Camera,757311
Nissan,Navara,2017,Japan,Manual,Diesel,2.5,89499,Poor,2,Bluetooth,754215
Volkswagen,Golf,2007,Germany,Manual,Petrol,4.0,73868,Very Good,1,Backup Camera,2510861
Toyota,Camry,2010,Japan,Automatic,Petrol,2.5,171551,Good,0,Sunroof,873988
Ford,Ranger,2021,USA,Automatic,Diesel,3.2,148922,Fair,4,Sunroof,1292088
Volkswagen,Golf,2019,Germany,Manual,Petrol,4.0,174452,Good,3,Heated Seats,2720349
Toyota,Corolla,2016,Japan,Manual,Diesel,2.5,113486,Good,5,Heated Seats,1004080
Toyota,RAV4,2003,Japan,Automatic,Petrol,1.4,50102,Good,1,None,512096
Honda,CR-V,2013,Japan,Automatic,Diesel,1.8,177976,Good,4,Heated Seats,935038
Volkswagen,Passat,2000,Germany,Manual,Petrol,1.6,23526,Good,1,Leather Seats,1407867
Subaru,XV,2022,Japan,Automatic,Petrol,1.6,81556,Very Good,1,Heated Seats,1703810
Nissan,X-Trail,2002,Japan,Automatic,Petrol,3.2,71102,Excellent,3,None,1051048
Honda,Fit,2008,Japan,Manual,Petrol,4.0,101983,Good,1,Bluetooth,1259135
Mercedes,C-Class,2001,Germany,Manual,Petrol,1.6,36923,Very Good,2,GPS,1714399
Toyota,Land Cruiser,2023,Japan,Manual,Petrol,3.0,166033,Fair,3,Bluetooth,1109001
Mercedes,GLE,2012,Germany,Manual,Petrol,2.0,144056,Fair,4,Heated Seats,1509870
Ford,Explorer,2010,USA,Automatic,Diesel,4.0,95276,Excellent,4,Backup Camera,1654329
Mercedes,GLA,2016,Germany,Automatic,Petrol,3.0,188725,Fair,4,GPS,1546363
Toyota,RAV4,2001,Japan,Manual,Petrol,1.4,77635,Very Good,4,Backup Camera,405265
Ford,Ranger,2012,USA,Automatic,Petrol,4.0,14582,Fair,0,Heated Seats,1357509
Ford,Explorer,2002,USA,Manual,Diesel,2.5,147552,Good,4,None,340519
Volkswagen,Tiguan,2016,Germany,Manual,Petrol,1.8,36342,Poor,3,Sunroof,1214820
Honda,Fit,2004,Japan,Automatic,Petrol,1.8,13540,Good,2,None,716329
Toyota,Land Cruiser,2020,Japan,Automatic,Petrol,2.0,98500,Excellent,4,Bluetooth,1603055
Toyota,RAV4,2003,Japan,Manual,Petrol,3.2,93437,Good,2,Sunroof,943900
BMW,X5,2002,Germany,Automatic,Petrol,2.5,61752,Fair,1,Sunroof,1269656
BMW,X5,2016,Germany,Manual,Petrol,4.0,87413,Excellent,1,Heated Seats,3196939
Honda,Civic,2011,Japan,Manual,Petrol,3.0,167852,Fair,3,Bluetooth,487560
Nissan,Navara,2016,Japan,Automatic,Diesel,2.0,12718,Poor,4,Heated Seats,732896
BMW,3 Series,2006,Germany,Automatic,Petrol,2.0,17255,Very Good,1,None,2058559
Mercedes,GLA,2006,Germany,Manual,Diesel,3.2,11309,Excellent,4,None,2605874
BMW,X3,2015,Germany,Automatic,Diesel,3.0,142794,Good,4,Bluetooth,2022280
Honda,Civic,2019,Japan,Automatic,Petrol,3.2,168265,Fair,1,Bluetooth,1336884
Subaru,XV,2017,Japan,Manual,Petrol,2.0,96808,Good,2,GPS,1122045
Nissan,Qashqai,2022,Japan,Automatic,Petrol,1.4,153278,Very Good,0,Leather Seats,1602420
Mercedes,C-Class,2022,Germany,Manual,Petrol,4.0,99385,Good,2,Sunroof,2989861
BMW,X5,2000,Germany,Automatic,Petrol,2.0,103612,Excellent,4,None,1518304
Nissan,Navara,2001,Japan,Automatic,Petrol,3.2,61775,Excellent,1,Leather Seats,1171785
Ford,Focus,2012,USA,Manual,Petrol,2.0,148773,Excellent,0,Backup Camera,1067490
Mercedes,GLE,2010,Germany,Manual,Petrol,4.0,8323,Good,3,Heated Seats,2345756
Mercedes,E-Class,2002,Germany,Automatic,Diesel,1.4,100409,Poor,4,Leather Seats,813308
BMW,3 Series,2019,Germany,Manual,Diesel,1.6,41568,Good,3,None,2274601
BMW,X3,2002,Germany,Automatic,Diesel,2.5,106582,Good,1,GPS,1415973
Subaru,Forester,2012,Japan,Manual,Petrol,1.8,49145,Poor,2,Leather Seats,569300
Ford,Ranger,2003,USA,Manual,Petrol,1.8,96148,Fair,4,Leather Seats,416985
BMW,X3,2019,Germany,Automatic,Petrol,3.0,195941,Poor,0,Bluetooth,1310877
Ford,Explorer,2018,USA,Automatic,Petrol,3.2,146026,Very Good,2,None,1735676
Honda,Accord,2019,Japan,Manual,Diesel,2.0,121769,Fair,1,Bluetooth,969429
Subaru,Outback,2007,Japan,Automatic,Diesel,1.4,137279,Fair,1,Sunroof,536922
Ford,Fiesta,2013,USA,Manual,Diesel,2.5,88628,Good,3,Leather Seats,982895
Ford,Focus,2004,USA,Manual,Diesel,3.2,107931,Poor,0,Heated Seats,568639
Volkswagen,Polo,2022,Germany,Automatic,Diesel,4.0,193490,Poor,3,Backup Camera,1572273
Volkswagen,Golf,2015,Germany,Manual,Petrol,4.0,96475,Fair,1,Bluetooth,2064342
Toyota,Land Cruiser,2004,Japan,Manual,Petrol,1.4,161676,Very Good,4,Sunroof,488018
BMW,3 Series,2005,Germany,Automatic,Petrol,1.8,116544,Fair,5,Sunroof,1133371
Subaru,Impreza,2022,Japan,Automatic,Petrol,1.6,107596,Fair,2,GPS,1116586
Mercedes,E-Class,2001,Germany,Automatic,Petrol,1.8,11689,Fair,1,Heated Seats,1313824
Volkswagen,Tiguan,2002,Germany,Manual,Diesel,1.8,147960,Excellent,5,None,1538904
